2025-05-27 19:03:39 | ChromaRAGClient | DEBUG | process_single_pdf:87 | Loaded 1 pages from data\Dubai Brochure.pdf
2025-05-27 19:03:39 | ChromaRAGClient | INFO | process_single_pdf:104 | Created 1 chunks from data\Dubai Brochure.pdf
2025-05-27 19:03:39 | ChromaRAGClient | INFO | process_single_pdf:80 | Processing PDF: data\Las Vegas Brochure.pdf
2025-05-27 19:03:39 | ChromaRAGClient | DEBUG | process_single_pdf:87 | Loaded 1 pages from data\Las Vegas Brochure.pdf
2025-05-27 19:03:39 | ChromaRAGClient | INFO | process_single_pdf:104 | Created 2 chunks from data\Las Vegas Brochure.pdf
2025-05-27 19:03:39 | ChromaRAGClient | INFO | process_pdf_batch:136 | Successfully processed 2/2 PDFs
2025-05-27 19:03:39 | ChromaRAGClient | INFO | process_pdf_batch:137 | Total document chunks: 3
2025-05-27 19:03:39 | ChromaRAGClient | INFO | add_documents_to_chroma:147 | Adding 3 documents to Chroma database
2025-05-27 19:03:39 | ChromaRAGClient | INFO | add_documents:143 | Adding 3 documents to Chroma
2025-05-27 19:03:43 | ChromaRAGClient | INFO | add_documents:152 | Successfully added 3 documents to Chroma
2025-05-27 19:03:43 | ChromaRAGClient | INFO | add_documents:153 | Total documents in collection: 3
2025-05-27 19:03:43 | ChromaRAGClient | INFO | add_documents_to_chroma:153 | Successfully added 3 documents to Chroma
2025-05-27 19:03:43 | ChromaRAGClient | INFO | index_pdf_files:198 | Indexing pipeline completed: {'success': True, 'message': 'PDF indexing completed successfully', 'files_processed': 2, 'chunks_created': 3, 'chunks_indexed': 3}
2025-05-27 19:03:43 | ChromaRAGClient | INFO | index_directory:203 | Indexing directory: data/pdfs
2025-05-27 19:03:43 | ChromaRAGClient | ERROR | find_pdf_files:37 | Directory not found: data\pdfs
2025-05-27 19:03:43 | ChromaRAGClient | INFO | ask_rag:231 | Processing RAG query: 'What destinations are available?'
2025-05-27 19:04:15 | ChromaRAGClient | INFO | __init__:40 | Initializing Chroma RAG Client...
2025-05-27 19:04:16 | ChromaRAGClient | INFO | __init__:110 | Chroma RAG Client initialized successfully
2025-05-27 19:04:16 | ChromaRAGClient | INFO | __init__:111 | Vector database: ./db/chroma_db
2025-05-27 19:04:16 | ChromaRAGClient | INFO | __init__:112 | Collection size: 3 documents
2025-05-27 19:04:16 | ChromaRAGClient | INFO | __init__:30 | Document processor initialized - chunk_size: 1000, overlap: 200
2025-05-27 19:04:16 | ChromaRAGClient | INFO | index_pdf_files:163 | Starting PDF indexing pipeline
2025-05-27 19:04:16 | ChromaRAGClient | DEBUG | validate_pdf_files:71 | Valid PDF: data/Dubai Brochure.pdf (388622 bytes)
2025-05-27 19:04:16 | ChromaRAGClient | DEBUG | validate_pdf_files:71 | Valid PDF: data/Las Vegas Brochure.pdf (569917 bytes)
2025-05-27 19:04:16 | ChromaRAGClient | INFO | validate_pdf_files:75 | Validated 2/2 PDF files
2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_pdf_batch:125 | Processing batch of 2 PDF files
2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_single_pdf:80 | Processing PDF: data\Dubai Brochure.pdf
2025-05-27 19:04:16 | ChromaRAGClient | DEBUG | process_single_pdf:87 | Loaded 1 pages from data\Dubai Brochure.pdf
2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_single_pdf:104 | Created 1 chunks from data\Dubai Brochure.pdf
2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_single_pdf:80 | Processing PDF: data\Las Vegas Brochure.pdf
2025-05-27 19:04:16 | ChromaRAGClient | DEBUG | process_single_pdf:87 | Loaded 1 pages from data\Las Vegas Brochure.pdf
2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_single_pdf:104 | Created 2 chunks from data\Las Vegas Brochure.pdf
